,question,counts
5735,what is the comorbidity of sars cov,7
5736,what is the alcohol content of hand sanitizer,7
5737,what is ooc,7
5738,how to predict the spread of a pandemic,7
5739,what is granger causality,7
5740,what is cliquesnv,7
5741,what is the enfermera,7
5742,what is the primary treatment for covid,7
5743,what is the use of iot,7
5744,what is the immunogenicity of peptides,7
5745,what is coviddeep,7
5746,what is the effect of covid 19 on the environment,7
5747,what is the incidence of kawasaki disease,7
5748,what is pooled pcr,7
5749,when did the covid pandemic end,7
5750,how long does sars cov-2 last in stool,7
5751,what is the main cause of air pollution,7
5752,when is ncov detected,7
5753,what is the cut off point for anxiety,7
5754,what is the treatment for ocd,7
5755,what is miniseg,7
5756,what is the sensitivity of a nasal swab,7
5757,what is the phylogenetic clade of sars,7
5758,when was the first covid pandemic,7
5759,what is the contact rate for covid,7
5760,what is nom recombinant protein,7
5761,what is the meaning of t,7
5762,what is the baseline model for covid,7
5763,what is the mortality rate for sars cov,7
5764,why is covid 19 a fear,7
5765,what is the baseline model,7
5766,what is the pk of hcq,7
5767,why is the covid epidemic spreading,7
5768,what is the clinical significance of sars-cov-2,7
5769,what is survival analysis,7
5770,how many people have been infected with coronavirus,7
5771,what is nomogram,7
5772,what is the onset of sars-cov-2,7
5773,what is covid-19 infection,7
5774,what is the function of gamp,7
5775,what is gemcitabine used for,7
5776,what is the treatment for melanoma,7
5777,when was the first covid reported,7
5778,what is the preoperative test for covid,7
5779,what is cido,7
5780,what is the mortality rate in china,7
5781,how long does it take for a patient to be admitted to hospital,7
5782,average number of patients treated per week,7
5783,how many tweets are geotagged,7
5784,what is chemosensitive disorder,7
5785,how long does it take for a pandemic to start,7
5786,what is the clade of sars,7
5787,what is the role of cd4 t cells in sepsis,7
5788,what is the dose of ifn,7
5789,what is the use of 3d printing,7
5790,what is the effect of school closure,7
5791,what is the alcohol based sanitizer,7
5792,what is the function of ace2 in lungs,7
5793,what is the difference between sars-cov-2 and sars-cov-2,7
5794,how many people died in covid,7
5795,what is the benefit of ivig,7
5796,what is populism in science,7
5797,what is the benefit of ecmo,7
5798,how long does it take to get sars cov results,7
5799,what is the chinese pandemic,7
5800,what is rbd protein,7
5801,what is the contraindication for ecmo,7
5802,what is the recurrence of covid,7
5803,what is the primary target of sars-cov,7
5804,what is the neural network,7
5805,what is the difference between aci and cci,7
5806,what is the basic reproduction number of a virus,7
5807,what is the treatment for oud,7
5808,what is thymoquinone,7
5809,what is the ghsp,7
5810,what is sofa score,7
5811,what is the effect of the covid 19,7
5812,what is the effect of temperature on the spread of covid,7
5813,what is the immunogenicity of sars-cov-2,7
5814,what is g-c3n4,7
5815,what is behavioral economics,7
5816,what is the purpose of a dna vaccine,7
5817,what is the sird model used for,7
5818,what is the perception of covid,7
5819,what is the phylogenetic origin of sars,7
5820,what is the consequence of the pandemic,7
5821,how many people have been affected by sars cov,7
5822,what is the structure of abl,7
5823,what is the difference between obesity and covid,7
5824,what is the purpose of a monoclonal antibody,7
5825,how many patients are tested for covid,7
5826,what is the phenotype of sars,7
5827,what is supervised learning,7
5828,what is tippy tap,7
5829,what is the clinical significance of sars cov-2,7
5830,what is the population of the world,7
5831,how to predict the spread of infectious diseases,7
5832,what is the mutation of sars cov,7
5833,why is the coronavirus spreading,7
5834,what is the incubation period for a seir model,7
5835,what is the generalized anxiety disorder scale,7
5836,what is the generalized anxiety scale,7
5837,what is the risk of hcws,7
5838,what is the effect of self isolation,7
5839,what is viralmsa,7
5840,what is the spread of covid19,7
5841,what is cps,7
5842,what is cellulose based wet wipe,7
5843,what is the net reproduction number,7
5844,why is video consultation necessary,7
5845,what is the prophylactic dose for covid,7
5846,what is the icd code for influenza,7
5847,what is the sird compartmental model,7
5848,what is the age range of covid,7
5849,what is the blockchain used for,7
5850,what is the benefit of heparin,7
5851,what is the comorbidity of sars cov-2,7
5852,what is lfas,7
5853,d,7
5854,covid 19 case definition,7
5855,what is the transmission heterogeneity of covid,7
5856,what is rdv used for,7
5857,how long does sars cov-2 take to show up,7
5858,what is the purpose of an ebox,7
5859,what is the difference between classical and nonclassical monocytes,7
5860,what is rpa,7
5861,what is the most common complication of coronavirus,7
5862,what is the phylogenetic name for sars-cov,7
5863,what is the function of nlrp3,7
5864,what is the glct used for,7
5865,what is the mortality rate for diabetes,7
5866,why did covid 19 happen,7
5867,what is big data analytics,7
5868,what is the mortality rate of sars in china,7
5869,prevalence of olfactory dysfunction,7
5870,cost sensitive learning definition,7
5871,what is the relationship between temperature and mortality,7
5872,what is the population of uganda,7
5873,what is the role of aceis in covid,7
5874,what is precision medicine,7
5875,how long does sars cov-2 stay in urine,7
5876,why is rt pcr important,7
5877,what is chws,7
5878,what is the function of covs,7
5879,what is superhydrophobicity,7
5880,what is ttc,7
5881,what is the purpose of ventilation,7
5882,what is chexnet,7
5883,what is the role of nanoparticles in viruses,7
5884,what is the mutation of spike protein,7
5885,what is the proper way to intubate a patient,7
5886,what is the role of cd38 in t cell activation,7
5887,what is the purpose of an anteroom,7
5888,how many patients died from sars,7
5889,what is the cumulative incidence curve,7
5890,what is hpv,7
5891,what is the stochastic epidemic model,7
5892,what is the global health security index,7
5893,what is nk cells,7
5894,what is the basic reproduction number for covid,7
5895,what is virosal,7
5896,what is the effect of cordon sanitaire,7
5897,what is positive deviance,7
5898,what is the sobolev norm,7
5899,what is garlic used for,7
5900,what is the covid 19 response,7
5901,what is the occupational risk of covid,7
5902,what is the dose of chloroquine for malaria,7
5903,what is the purpose of teletherapy,7
5904,why use ppe,7
5905,what is the basic reproduction number for sars,7
5906,what is the chinese epidemic,7
5907,what is hrsace2,7
5908,what is cerebrovascular disease,7
5909,what is the structure of remdesivir,7
5910,what is the purpose of vaccines,7
5911,what is sodope,7
5912,what is iopt,7
5913,what is the role of rna in sars,7
5914,what is mooc,7
5915,what is the function of nsp15,7
5916,what is graphene,7
5917,what is the cause of encephalitis,7
5918,what is the dose of cq for covid,7
5919,what is the pathogenicity of mers,7
5920,what is nationalism,7
5921,what is the dose of covid 19,7
5922,what is the function of ace-2,7
5923,what is cep,7
5924,what is the generalized logistic function,7
5925,what is the inclusion criteria for a systematic review,7
5926,what is the difference between rural and urban populations,7
5927,what is the generalized logistic growth model,7
5928,how many people have been affected by the covid virus,7
5929,how to model an epidemic,7
5930,what is the use of hydroxychloroquine,7
5931,when is the chinese spring festival,7
5932,what is the dependent variable of covid,7
5933,how long does a sars vaccine last,7
5934,who is the editor of anesthesia,7
5935,what is the role of hla in sars,7
5936,what is sud,7
5937,what is the risk of surgical smoke,7
5938,what is rrid,7
5939,what is the siru model,7
5940,how long does it take for a lockdown to end,7
5941,why is behavior analysis important,7
5942,what is the role of the funder in the study,7
5943,what is the purpose of an app,7
5944,what is shannon entropy,7
5945,what is uniquekmer,7
5946,what is the theme of the covid pandemic,7
5947,what is generation z,7
5948,how long after tracheostomy,7
5949,why are masks effective,7
5950,how long does it take for a covid epidemic to peak,7
5951,what is v-seq,7
5952,what is the dosage for covid,7
5953,what is the nt probnp,7
5954,what is the role of interferon in viral infection,7
5955,symptoms of sars,7
5956,what is the epidemiological parameters of covid,7
5957,what is the igg level in sars,7
5958,what is the rrt-pcr,7
5959,why are masks necessary,7
5960,what is the seir model for covid,7
5961,when is igg detectable,7
5962,average temperature for covid,7
5963,how long does it take for a covid infection to show up,7
5964,what is ssc,7
5965,why are n95 masks used,7
5966,where is sars-cov located,7
5967,what is modularity,7
5968,what is the probability of a positive test,7
5969,what is hipsc-cms,7
5970,what is the purpose of the isave,7
5971,what is udca,7
5972,what is the covid symptom study,7
5973,what is sna,7
5974,what is the mortality rate of a covid,7
5975,what is the final epidemic size,7
5976,what is the role of covid 19 in cancer,7
5977,what is the theory of change,7
5978,how long is the incubation period for a virus,7
5979,when is sars cov-2 detected in stool,7
5980,how to prevent sars cov-2,7
5981,what is the pandemic risk,7
5982,what is the effect of color on depth perception,7
5983,why is a tracheostomy necessary,7
5984,what is the effect of the pandemic on the environment,7
5985,what is brachytherapy,7
5986,what is statin therapy,7
5987,how to prevent sars,7
5988,what is the average duration of a hospital stay,7
5989,what is the effect of the pandemic on the economy,7
5990,how many people are infected in india,7
5991,what is the incubation time for coronavirus,7
5992,what is the host of sars,7
5993,what is the igg for sars,7
5994,what is the pathogen for sars-cov,7
5995,why is a lockdown necessary,7
5996,what is the hub gene,7
5997,what is coproduction,7
5998,when is sars detectable,7
5999,how many people are infected by covid,7
6000,what is the role of mscs in lung injury,7
6001,cost of mife/miso,7
6002,what is the molecular weight of heparin,7
6003,what is the transmission potential of covid,7
6004,where is sars spread,7
6005,what is the purpose of data analysis,7
6006,what is the definition of coronavirus,7
6007,what is lcr,7
6008,what is the difference between sars-cov and covid,7
6009,how long does hcq last,7
6010,what is cordite,7
6011,what is the causal relationship between temperature and humidity,7
6012,what is the ighv gene,7
6013,what is the effect of air pollution on the brain,7
